County ,Total population,Median age,Male total,Male percentage,Female total,Female percentage
King ,1931249,37.1,962090,49.80%,969159,50.20%
Pierce ,795225,35.9,392934,49.40%,402291,50.60%
Snohomish ,713335,37.1,356958,50.00%,356377,50.00%
Spokane ,471221,36.8,232696,49.40%,238525,50.60%
Clark ,425363,36.7,209954,49.40%,215409,50.60%
Thurston ,252264,38.5,122952,48.70%,129312,51.30%
Kitsap ,251133,39.4,127155,50.60%,123978,49.40%
Yakima ,243231,32.2,121676,50.00%,121555,50.00%
Whatcom ,201140,36.6,99635,49.50%,101505,50.50%
Benton ,175177,35.6,87486,49.90%,87691,50.10%
Skagit ,116901,40.1,57980,49.60%,58921,50.40%
Cowlitz ,102410,40.2,50542,49.40%,51868,50.60%
Grant ,89120,32.1,45420,51.00%,43700,49.00%
Island ,78506,43.2,38857,49.50%,39649,50.50%
Franklin ,78163,28.4,40447,51.70%,37716,48.30%
Lewis ,75455,41.5,37750,50.00%,37705,50.00%
Grays Harbor ,72797,41.9,37357,51.30%,35440,48.70%
Chelan ,72453,39.3,36130,49.90%,36323,50.10%
Clallam ,71404,49,35429,49.60%,35975,50.40%
Mason ,60699,44.4,31400,51.70%,29299,48.30%
Walla Walla ,58781,36.7,29835,50.80%,28946,49.20%
Whitman ,44776,24.4,22806,50.90%,21970,49.10%
Stevens ,43531,45,21782,50.00%,21749,50.00%
Okanogan ,41120,42.9,20750,50.50%,20370,49.50%
Kittitas ,40915,31.9,20793,50.80%,20122,49.20%
Douglas ,38431,36.8,19198,50.00%,19233,50.00%
Jefferson ,29872,53.9,14798,49.50%,15074,50.50%
Asotin ,21623,43.5,10453,48.30%,11170,51.70%
Pacific ,20920,50.8,10488,50.10%,10432,49.90%
Klickitat ,20318,45.3,10268,50.50%,10050,49.50%
Adams ,18728,29,9544,51.00%,9184,49.00%
San Juan ,15769,52.7,7665,48.60%,8104,51.40%
Pend Oreille ,13001,47.8,6593,50.70%,6408,49.30%
Skamania ,11066,44,5565,50.30%,5501,49.70%
Lincoln ,10570,47.6,5277,49.90%,5293,50.10%
Ferry ,7551,47.3,3905,51.70%,3646,48.30%
Columbia ,4078,48.3,2022,49.60%,2056,50.40%
Wahkiakum ,3978,52.3,1999,50.30%,1979,49.70%
Garfield ,2266,49,1118,49.30%,1148,50.70%
