County,Median.Income
Adams,43541
Asotin,42174
Benton,63710
Chelan,51713
Clallam,44824
Clark,57852
Columbia,39931
Cowlitz,43409
Douglas,49030
Ferry,39596
Franklin,56105
Garfield,44446
Grant,46036
Grays Harbor,40323
Island,52014
Jefferson,46957
King,71122
Kitsap,60200
Kittitas,46690
Klickitat,46733
Lewis,39609
Lincoln,46956
Mason,47142
Okanogan,36292
Pacific,35934
Pend Oreille,42043
Pierce,57238
San Juan,60872
Skagit,56058
Skamania,51716
Snohomish,64391
Spokane,48312
Stevens,45528
Thurston,63408
Wahkiakum,43140
Walla Walla,47238
Whatcom,50879
Whitman,43091
Yakima,40696
